|   Lv   |                Type                | Unlock / Description                                                                                                                                                                                       |
| :----: | :--------------------------------: | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|  **1** |     **Base ability – Fireball**    | *Active (cast)*: Begin a 2-round channel. Each correct answer adds **+1 dmg/round**. If both rounds are correct → total **+2 dmg** added when it lands. Base 2 dmg + accumulated fire bonus. **CD 5 rds.** |
|  **2** |                Stat                | Fireball cooldown –1 (→ 4 rds)                                                                                                                                                                             |
|  **3** |                Stat                | +1 Base DMG                                                                                                                                                                                                |
|  **4** |       **Ability – Frostbolt**      | *Phase 2 instant cast:* 3 magic DMG to one enemy, always hits; resets streak. CD 3 rds.                                                                                                                    |
|  **5** |                Stat                | Fireball +1 DMG per round (→ +2 → +3 total if full cast)                                                                                                                                                   |
|  **6** |                Stat                | +1 HP                                                                                                                                                                                                      |
|  **7** |                Stat                | Fireball cooldown –1 (→ 3 rds)                                                                                                                                                                             |
|  **8** | **Cross-Class Ability – Fireball** | Grants Fireball as a usable spell for any class equipped with the cross-class slot. Uses current Wizard’s cooldown/charge rules.                                                                           |
|  **9** |                Stat                | +1 Base DMG                                                                                                                                                                                                |
| **10** |      **Ability – Manashield**      | *Reactive, CD 3 rds:* absorb the next 2 DMG you take **or** preserve an in-progress Fireball if you miss a question.                                                                                       |
| **11** |                Stat                | Fireball +1 DMG per round (→ +4 total if full 2-round cast).                                                                                                                                               |
| **12** |       **Ability – Manaward**       | *Party buff, CD 4 rds:* all allies gain **Barrier 1** vs. next 1 DMG this round.                                                                                                                           |
| **13** |                Stat                | Fireball can now charge 3 rounds (max bonus +6 DMG if perfect cast).                                                                                                                                       |
| **14** |                Stat                | Fireball +1 DMG per round (→ +5 per round × 3 = 15 potential bonus).                                                                                                                                       |
| **15** | **Cross-Class Ability – Manabomb** | *Ultimate, once/encounter Phase 2 cast:* deal **10 instant MAG DMG to all enemies on screen.** Usable by any class that has unlocked cross-class slots.                                                    |
